width,learning_rate,eval_loss
256,5e-05,0.40277104638516903
256,0.0001,0.34462651051580906
256,0.0002,0.33861047588288784
256,0.0004,0.3371732234954834
256,0.0008,0.32958911173045635
256,0.0016,0.2850124016404152
256,0.0032,0.2269610520452261
256,0.0064,0.2205106671899557
256,0.0128,0.2507216464728117
512,5e-05,0.34191493317484856
512,0.0001,0.3389800079166889
512,0.0002,0.3372311443090439
512,0.0004,0.33374576829373837
512,0.0008,0.26819627173244953
512,0.0016,0.20521576330065727
512,0.0032,0.23465020209550858
512,0.0064,0.209532143548131
512,0.0128,0.3591099102050066
1024,5e-05,0.3395203985273838
1024,0.0001,0.33716660365462303
1024,0.0002,0.3319013249129057
1024,0.0004,0.2261327989399433
1024,0.0008,0.17589451000094414
1024,0.0016,0.2288804417476058
1024,0.0032,0.27253852784633636
1024,0.0064,0.34566868282854557
1024,0.0128,0.5489438436925411
